TASKS NOT STARTED
 Beth 	 Balance Account 	 I fought the law 	 0 	 0 
 ZebraHead 	 Balance Account 	 made some decisions 	 0 	 0 
 ZebraHead 	 Balance Account 	 made some other decisions 2.5 12 	 0 	 0 
 Alex 	 Reconcile Account 	 I did many things 	 0 	 0 
 Beth 	 Reconcile Account 	 The law won 	 0 	 0 
 ZebraHead 	 Reconcile Account 	 did something 	 0 	 0 
 ZebraHead 	 Reconcile Account 	 did some other things 	 0 	 0 
 Beth 	 Review reticulating splines 	 did another thing 	 0 	 0 
 Alex 	 View Reticulating Splines 	 many things are happening 	 0 	 0 

\TASKS STARTED
 Alex 	 Balance Account 	 Make sure the cows come home 	 4 	 8 
